Doc. No.,Title,Description,Registered by,Registered date,Status,subcategory
2022037407,Accreditation submission checklist,CHED requirements update for Nursing Program,janine.santos,26/11/2022 13:45,Received by OQUAMS,Academics: Accreditation & Quality Assurance
2022037821,Endorsement letter form Dr. Cecilia Quijano,CHED submission for Master of Science in Chemistry,marvin.lopez,14/08/2022 20:54,Sent to OVCRE-DR from OC,Academics: Accreditation & Quality Assurance
2022039376,Certificate of Program Compliance (COPC),Doctor of Philosophy in Physics,cheryl.mendoza,13/01/2022 17:55,Received by CSM-DEAN,Academics: Accreditation & Quality Assurance
2022039708,CHED Forms submission,FR: Asst. Prof. John Dela Cruz,glainarose.arquillos,28/10/2022 22:35,Sent to CASS-DEAN from OC,Academics: Accreditation & Quality Assurance
2022039829,Endorsement letter,CHED submission for Bachelor of Science in Hospitality Management,acmida.dagalangit,25/07/2022 0:45,Received by OVCRE-DR,Academics: Accreditation & Quality Assurance
2022042244,Program Compliance Certificate,Bachelor of Science in Electronics Engineering,norol-huda.boransing,10/04/2022 18:26,Sent to CON-DEAN from OC,Academics: Accreditation & Quality Assurance
2022043741,Invitation letter from DepEd,Requester: Anna Cruz,acmida.dagalangit,10/06/2022 16:21,Sent to ACCOUNTING from ACCOUNTING,Academics: Administrative Correspondence
2022044908,Invitation request of the following Associate Professors,Requester: John Santos,acmida.dagalangit,22/04/2022 13:53,Sent to CED-DEAN from OC,Academics: Administrative Correspondence
2022048881,Endorsement letter,Requester: Maria Ramos,acmida.dagalangit,17/12/2022 16:52,Received by CASS-DEAN,Academics: Administrative Correspondence
2022049033,Invitation letter for seminar,Requester: Carlo Dizon,acmida.dagalangit,13/05/2022 18:24,Sent to OC from OVCAF,Academics: Administrative Correspondence
2022049284,Invitation letter for training,Requester: Louise Marcos,acmida.dagalangit,12/06/2022 7:42,Received by CED-DEAN,Academics: Administrative Correspondence
2022049437,Invitation request of Professors,Requester: Kevin Delos,acmida.dagalangit,08/11/2022 11:18,Sent to OC from OVCAF,Academics: Administrative Correspondence
2022051709,Endorsement letter for workshop,Requester: Jenny Robles,acmida.dagalangit,12/06/2022 21:39,Received by CASS-DEAN,Academics: Administrative Correspondence
2022054300,Invitation letter from DepEd,Requester: Marco Lopez,acmida.dagalangit,31/01/2022 0:55,Sent to CED-DEAN from OC,Academics: Administrative Correspondence
2022060843,Endorsement letter,Requester: Erika Torres,acmida.dagalangit,07/04/2022 12:23,Received by CASS-DEAN,Academics: Administrative Correspondence
2022062961,Invitation request for meeting,Requester: Paulo Medina,acmida.dagalangit,20/02/2022 22:46,Sent to OC from OVCAF,Academics: Administrative Correspondence
2022064837,Endorsement letter of request,Requester: Aira Manalo,acmida.dagalangit,19/03/2022 11:20,Received by CED-DEAN,Academics: Administrative Correspondence
2022066644,Invitation request,Requester: Bryan Reyes,acmida.dagalangit,08/01/2022 12:46,Sent to OC from OVCAF,Academics: Administrative Correspondence
2022067611,Invitation letter for orientation,Requester: Camille Dela Cruz,acmida.dagalangit,23/05/2022 6:58,Received by CASS-DEAN,Academics: Administrative Correspondence
2022068329,Endorsement letter,Requester: Dexter Bautista,acmida.dagalangit,21/04/2022 0:02,Sent to CED-DEAN from OC,Academics: Administrative Correspondence
2022070413,Invitation request for seminar,Requester: Chloe Aquino,acmida.dagalangit,24/12/2022 1:02,Received by CASS-DEAN,Academics: Administrative Correspondence
2022071509,Invitation letter from DepEd,Requester: Sean Villanueva,acmida.dagalangit,17/03/2022 11:55,Sent to OC from OVCAF,Academics: Administrative Correspondence
2022072669,Endorsement letter,Requester: Ivy Navarro,acmida.dagalangit,18/09/2022 14:19,Received by CED-DEAN,Academics: Administrative Correspondence
2022077937,Invitation request of the following,Requester: Tristan Salvador,acmida.dagalangit,23/12/2022 19:58,Sent to CED-DEAN from OC,Academics: Administrative Correspondence
2022079049,Endorsement letter for professors,Requester: Hazel Domingo,acmida.dagalangit,04/10/2022 14:58,Received by CASS-DEAN,Academics: Administrative Correspondence
2022079293,Invitation letter from DepEd,Requester: Noel Fernandez,acmida.dagalangit,21/01/2022 22:06,Sent to OC from OVCAF,Academics: Administrative Correspondence
2022079581,Invitation letter for research forum,Requester: Alice Mendoza,acmida.dagalangit,02/04/2022 22:14,Sent to CED-DEAN from OC,Academics: Administrative Correspondence
2022079986,Endorsement letter for faculty evaluation,Requester: Brian Santos,acmida.dagalangit,29/12/2022 21:56,Received by CASS-DEAN,Academics: Administrative Correspondence
2022080805,Invitation request for curriculum meeting,Requester: Carla Ramos,acmida.dagalangit,22/06/2022 10:51,Sent to OC from OVCAF,Academics: Administrative Correspondence
2022080820,Endorsement letter for training participation,Requester: Daniel Cruz,acmida.dagalangit,19/05/2022 4:00,Received by CED-DEAN,Academics: Administrative Correspondence
2022080925,Invitation for seminar workshop,Requester: Emily Dalupang,acmida.dagalangit,02/08/2022 6:49,Sent to CASS-DEAN from OC,Academics: Administrative Correspondence
2022081273,Endorsement letter for accreditation submission,Requester: Francis Marcos,acmida.dagalangit,20/11/2022 17:06,Received by OC from OVCAF,Academics: Administrative Correspondence
2022081301,Invitation request for guest lecture,Requester: Grace Torres,acmida.dagalangit,24/04/2022 13:27,Sent to CED-DEAN from OC,Academics: Administrative Correspondence
2022084120,Endorsement letter for faculty award nomination,Requester: Henry Medina,acmida.dagalangit,23/08/2022 22:06,Received by CASS-DEAN,Academics: Administrative Correspondence
2022084585,Invitation letter for academic conference,Requester: Isabella Navarro,acmida.dagalangit,25/07/2022 22:21,Sent to OC from OVCAF,Academics: Administrative Correspondence
2022089358,Endorsement letter for research collaboration,Requester: Jason Villanueva,acmida.dagalangit,12/04/2022 5:36,Received by CED-DEAN,Academics: Administrative Correspondence
2022091727,Memo re: Final Submission of Faculty Loads,Deadline reminder for all college secretaries to submit final teaching loads for the upcoming semester.,ovcaa.admin,16/04/2022 20:56,Sent to All Colleges,Academics: Curriculum & Faculty Logistics
2022095443,Request for Reduced Teaching Load,Prof. C. Diaz requests a 3-unit reduction for a major research project directorship.,prof.diaz,26/03/2022 18:23,Sent to OVCRE,Academics: Curriculum & Faculty Logistics
2022096455,Class Schedule Adjustment – ME 301 Lab,Request to merge two small laboratory sections due to equipment limitations.,coe.dean,19/10/2022 10:50,Sent to Registrar,Academics: Curriculum & Faculty Logistics
2022096488,Faculty Load Justification – Overload,"Justification for a faculty member teaching 24 units, approved for overload pay.",cas.dean,22/11/2022 2:20,Sent to ACCOUNTING,Academics: Curriculum & Faculty Logistics
2022096593,Special Order – Non-Teaching Assignment,SO designating Dr. A. Reyes to the Accreditation Steering Committee for the entire semester.,chancellor,09/04/2022 9:36,Sent to OQUAMS,Academics: Curriculum & Faculty Logistics
2022096605,Curriculum Revision Memo (BS Math),Memo detailing changes to BS Math curriculum requiring two new core courses starting next AY.,math.chair,29/08/2022 14:39,Sent to OQUAMS,Academics: Curriculum & Faculty Logistics
2022100018,Room Assignment Conflict Report,Report detailing conflict between CAS 101 and COE 202 class times/locations.,sched.unit,06/05/2022 16:44,Sent to Registrar,Academics: Curriculum & Faculty Logistics
2022101480,Certification of Faculty Research Load Credits,Certification granting 6 units of service credits for published research output.,ovcre.staff,26/12/2022 5:21,Sent to OVCAA,Academics: Curriculum & Faculty Logistics
2022103284,Request for Temporary Classroom Allocation,Request from CED for three temporary rooms due to ongoing Annex construction.,ced.dean,04/07/2022 23:40,Sent to PPD,Academics: Curriculum & Faculty Logistics
2022104079,Finalized Class Schedule AY 2026-2027,"Registrar's official, published schedule for all classes for the 1st Semester.",registrar,11/09/2022 20:06,Sent to All Units,Academics: Curriculum & Faculty Logistics
2022104182,Faculty Sabbatical Plan Approval,Approval of Prof. T. Lopez's 1-year Sabbatical Leave research proposal.,ovcaa.staff,11/08/2022 15:32,Sent to HRMO,Academics: Curriculum & Faculty Logistics
2022105455,Endorsement for Promotion and Workload Review,Dean's recommendation for tenure promotion based on teaching and research workload.,csm.dean,08/10/2022 21:12,Sent to OVCAA,Academics: Curriculum & Faculty Logistics
2022105668,Memo re: Submission of Syllabi Q1,Reminder to department chairs to upload finalized syllabi for all new/revised courses.,acad.evaluator,19/11/2022 13:27,Sent to Dept Chairs,Academics: Curriculum & Faculty Logistics
2022106422,Request for Room Change – Large Lecture,Request to move Physics 101 lecture from Room 102 to the large Auditorium due to enrollment.,physics.dept,13/07/2022 17:23,Sent to PPD,Academics: Curriculum & Faculty Logistics
2022107591,Justification of Faculty Overload Payment,Financial justification for releasing differential pay for 3-unit overload teaching.,budget.control,05/01/2022 17:23,Sent to CASHIER,Academics: Curriculum & Faculty Logistics
2022108687,Room Finalization Notice (COE),Notice confirming final room assignments for all College of Engineering courses.,sched.unit,16/09/2022 17:59,Sent to COE-DEAN,Academics: Curriculum & Faculty Logistics
2022109418,Workload Assignment for Extension Service,Granting 3 units of service credit for conducting community literacy workshops.,ovcre.extension,08/10/2022 17:19,Sent to HRMO,Academics: Curriculum & Faculty Logistics
2022109913,Policy Draft: Faculty Overload Limits,Proposal to revise policy on maximum allowable units for teaching overload per semester.,ovcaa.policy,23/10/2022 17:00,Sent to Legal Office,Academics: Curriculum & Faculty Logistics
2022110146,Faculty Service Credit Report,Quarterly report detailing all service and research units awarded to faculty.,hr.admin,23/02/2022 0:28,Sent to OVCAA,Academics: Curriculum & Faculty Logistics
2022111462,Class Section Splitting Request,Request to split a 55-student lecture section into two sections of 25 and 30 students.,math.dept,21/03/2022 4:35,Sent to Registrar,Academics: Curriculum & Faculty Logistics
2022111713,Memo re: Faculty Attendance in Committee Meetings,Reminder detailing expected attendance for all assigned faculty to college committees.,acad.dean,25/10/2022 1:42,Sent to Faculty,Academics: Curriculum & Faculty Logistics
2022115265,Academic Calendar Final Draft AY 2026-2027,"Finalized calendar including enrollment dates, holidays, and examination periods.",registrar,21/06/2022 10:10,Sent to All Units,Academics: Curriculum & Faculty Logistics
2022115554,Workload Assignment: Administrative Duty,Formal assignment of 6 units of administrative load to the Quality Assurance Officer.,oquams.staff,15/06/2022 3:40,Sent to HRMO,Academics: Curriculum & Faculty Logistics
2022117363,Report on Underutilized Classrooms,PPD report detailing classrooms with less than 50% utilization across three colleges.,ppd.admin,27/01/2022 1:38,Sent to OVCPD,Academics: Curriculum & Faculty Logistics
2022117936,Curriculum Change Endorsement,Endorsement from the University President approving new General Education curriculum changes.,chancellor,30/10/2022 15:17,Sent to CHED,Academics: Curriculum & Faculty Logistics
2022119748,Faculty Load Form Submission (CASS),Submission of individual faculty load sheets for verification.,cass.secretary,08/01/2022 22:07,Sent to OVCAA,Academics: Curriculum & Faculty Logistics
2022122181,Request for Ad Hoc Committee Formation,Request to form a committee to review existing Computer Science curriculum.,ict.dean,10/02/2022 23:28,Sent to OVCAA,Academics: Curriculum & Faculty Logistics
2022123442,DV# 126280 - Honorarium Payment,Payment for special non-teaching assignment (Curriculum Review Committee).,payroll.unit,24/01/2022 6:07,Received by CASHIER,Academics: Curriculum & Faculty Logistics
2022124028,Teaching Assignment Change Notice,Memo notifying faculty of a change in their assigned course (due to low enrollment).,sched.unit,07/04/2022 5:00,Sent to Faculty,Academics: Curriculum & Faculty Logistics
2022124329,Final List of Non-Teaching Assignments,Consolidated list of faculty members assigned to non-teaching duties for the semester.,ovcaa.admin,14/03/2022 23:04,Sent to HRMO,Academics: Curriculum & Faculty Logistics
2022125244,Request for Copy of Transcript of Records,"Requester: Former student, Batch 2020.",records.unit,07/01/2022 5:54,Sent to Registrar,Academics: Enrollment & Outreach
2022126608,Acceptance of Transfer Credits – BS Architecture,Evaluation sheet approving 18 units transferred from UP Diliman.,acad.evaluator,08/06/2022 20:21,Received by ARCH-DEAN,Academics: Enrollment & Outreach
2022129447,Memo re: Deadline for Late Enrollment Payment,Formal memo to Cashier regarding extended payment cut-off.,ovcaa.office,20/06/2022 0:44,Sent to CASHIER,Academics: Enrollment & Outreach
2022129937,Enrollment Confirmation AY 2026-2027,Official letter confirming incoming freshman student ID 2026-1045.,admissions,15/09/2022 23:24,Sent to Student,Academics: Enrollment & Outreach
2022133562,Request for Certification of Enrollment,Requester: Student ID 2024-3012 for Scholarship purposes.,records.unit,23/10/2022 17:49,Received by OVCSA,Academics: Enrollment & Outreach
2022136349,Marketing Plan: Senior High Outreach 2026,Proposal detailing schedule for SHS recruitment visits.,acad.marketing,14/06/2022 2:06,Sent to OVCPD,Academics: Enrollment & Outreach
2022137128,Recruitment Drive Flyer Layout (CSM),Final proof of pamphlet detailing new Comp Sci specializations.,design.team,02/02/2022 18:58,Sent to OVCPD,Academics: Enrollment & Outreach
2022139559,Memo re: Final List of Deficient Enrollment Docs,List of students missing birth certificates/TORs.,enrollment,20/01/2022 3:57,Sent to Colleges,Academics: Enrollment & Outreach
2022139606,Request for SASE Application Forms,Request from DepEd Lanao del Norte for 500 SASE Kits.,sase.staff,02/04/2022 0:27,Sent to DepEd LND,Academics: Enrollment & Outreach
2022141220,Letter to Parents re: Student Probation,Official notification for student ID 2025-0550 regarding academic standing.,registrar,02/11/2022 20:03,Sent to Student,Academics: Enrollment & Outreach
2022142475,Outbound Recruitment Schedule: Davao Area,Logistics plan for travel to high schools in Davao Region (March 2026).,acad.outreach,18/05/2022 10:29,Sent to OVCAF,Academics: Enrollment & Outreach
2022142646,Request to Post Official Announcement (Scholarship),Request to Webmaster to post notice about external scholarship application opening.,ovcsa.office,18/06/2022 14:02,Sent to WEBMASTER,Academics: Enrollment & Outreach
2022143890,Final Draft: University Profile Brochure,Edited text and image placement for institutional publication.,publications,09/03/2022 23:17,Sent to Printing,Academics: Enrollment & Outreach
2022144577,Query re: Subject Grade Error (GE 101),Request from student to investigate misposted grade in GE 101.,cas.dean,22/10/2022 9:38,Sent to Faculty,Academics: Enrollment & Outreach
2022146939,Invitation to Career Guidance Counselors Seminar,Invitation list and logistics for annual seminar for external high schools.,sase.staff,03/06/2022 1:21,Sent to EXT AFFAIRS,Academics: Enrollment & Outreach
2022147326,MOA Draft: City College Partnership,Draft MOU for credit transfer pathway between MSU-IIT and City College.,ovcaa.policy,09/01/2022 17:15,Received by LEGAL,Academics: Enrollment & Outreach
2022147385,Social Media Campaign Metrics Q4 2025,Report detailing engagement and reach for semester intake promotion.,digital.marketing,09/05/2022 15:46,Sent to OVCPD,Academics: Enrollment & Outreach
2022148011,Request for Use of Audio-Visual Room,For presentation during Freshmen Orientation Week.,fresh.orient,17/09/2022 19:42,Sent to PPD,Academics: Enrollment & Outreach
2022151045,Acceptance Letter — Master of Arts in History,Official acceptance letter for graduate school applicant.,grad.school,20/04/2022 18:04,Sent to Applicant,Academics: Enrollment & Outreach
2022151121,Certification of Graduated Student,Request from CHED for list of engineering graduates SY 2024-2025.,records.unit,29/07/2022 16:32,Sent to CHED,Academics: Enrollment & Outreach
2022151604,Request for Brochure Printing Quotes,"Quotation request to 3 vendors for 5,000 copies of college brochures.",publications,18/09/2022 19:04,Sent to Purchasing,Academics: Enrollment & Outreach
2022151817,Enrollment Report Summary (CASS),Summary of enrolled students per program for College of Arts & Social Sciences.,acad.records,14/12/2022 5:44,Sent to CASS-DEAN,Academics: Enrollment & Outreach
2022152865,Memo re: Campus Tour Guide Schedule,Final schedule for student volunteers for recruitment tours.,campus.tour,05/03/2022 13:08,Sent to VCs,Academics: Enrollment & Outreach
2022154467,Policy Draft: New Admission Requirements (BSN),Proposal to increase required GWA for Bachelor of Science in Nursing.,con.dean,02/09/2022 18:20,Sent to OQUAMS,Academics: Enrollment & Outreach
2022154813,Transfer Student Application Evaluation (Eng 101),Evaluation sheet for Math and Science subject equivalency.,acad.evaluator,21/03/2022 0:27,Sent to COE-DEAN,Academics: Enrollment & Outreach
2022155096,Request for Official Photos (Faculty/Buildings),Request from Publications for high-res images for new brochure.,design.team,12/03/2022 11:21,Sent to Media Office,Academics: Enrollment & Outreach
2022156828,Letter to Alumni re: Recruitment Referrals,Campaign template for inviting alumni to refer high-performing students.,alumni.office,07/06/2022 15:19,Sent to Alumni,Academics: Enrollment & Outreach
2022158145,Finalized Enrollment Data AY 2025-2026,Certified report submitted to CHED/BOR.,registrar,01/06/2022 2:44,Sent to BOR,Academics: Enrollment & Outreach
2022159190,Inquiry re: Lost Diploma (Batch 2010),Request from former student for replacement diploma/certification.,records.unit,19/03/2022 9:27,Sent to Alumni Office,Academics: Enrollment & Outreach
2022161109,Memo re: Submission of Syllabi for BOR Review,Reminder to Departments to submit revised syllabi for institutional records.,ovcaa.office,15/09/2022 15:18,Sent to VCs,Academics: Enrollment & Outreach
2022162590,Request for organization team building,Team building activity of Junior Engineers Society,acmida.dagalangit,29/07/2022 8:35,Received by OC,Academics: Student Organizations & Activities
2022163991,Invitation for Debate Training Workshop,Requester: Marco Dela Peña,acmida.dagalangit,01/03/2022 17:15,Received by SDO,Academics: Student Organizations & Activities
2022165088,Participation request for Regional Science Quiz,Organized by DepEd Division Office,acmida.dagalangit,18/02/2022 1:21,Sent to CSM-DEAN from OC,Academics: Student Organizations & Activities
2022165706,Request to conduct freshmen orientation,CCS Student Council orientation event,acmida.dagalangit,09/04/2022 1:50,Received by OC,Academics: Student Organizations & Activities
2022165842,Youth Leadership Camp,Activity proposal for student leaders,acmida.dagalangit,18/05/2022 5:37,Received by SDO,Academics: Student Organizations & Activities
2022165980,Letter from KASAMA,Hosting of Inter-College Sports Spirit Rally,acmida.dagalangit,18/04/2022 7:14,Terminal Document at OC,Academics: Student Organizations & Activities
2022166645,Request for symposium participation,Financial Literacy Talk for student leaders,acmida.dagalangit,12/03/2022 4:35,Received by OC,Academics: Student Organizations & Activities
2022166657,Invitation from MSU System Student Body,Leadership Congress at MSU Marawi,acmida.dagalangit,02/09/2022 4:54,Sent to OC from OVCA,Academics: Student Organizations & Activities
2022168393,Request from Tourism Society,Campus Clean-up Drive on September 25,acmida.dagalangit,18/10/2022 10:48,Received by SDO,Academics: Student Organizations & Activities
2022169542,Provincial Youth Congress Invitation,Requester: Louie Maruhom,acmida.dagalangit,12/03/2022 18:31,Terminal Document at OC,Academics: Student Organizations & Activities
2022170366,Inter-school Chess Tournament,Invitation from City Sports Office,acmida.dagalangit,04/03/2022 15:36,Received by OC,Academics: Student Organizations & Activities
2022170669,Request for campus-wide pep rally,Organized by KASAMA,acmida.dagalangit,17/02/2022 1:20,Received by SDO,Academics: Student Organizations & Activities
2022172153,Letter for academic quiz bowl,Requester: Jeremiah Catingub,acmida.dagalangit,09/05/2022 21:05,Sent to CSM-MATH from SDO,Academics: Student Organizations & Activities
2022172344,Invitation to participate in Youth Summit,Organized by Provincial Youth Development Office,acmida.dagalangit,25/06/2022 17:34,Received by OC,Academics: Student Organizations & Activities
2022173420,Request from ESC Council,Conduct of Student Empowerment Seminar,acmida.dagalangit,18/03/2022 13:42,Terminal Document at OC,Academics: Student Organizations & Activities
2022173515,Sponsorship request,SCS Robotics Club Workshop,acmida.dagalangit,26/07/2022 9:37,Received by SDO,Academics: Student Organizations & Activities
2022176166,Invitation to attend Regional NSTP Congress,Requester: Jessa Lourdes Baguio,acmida.dagalangit,03/06/2022 14:14,Received by OC,Academics: Student Organizations & Activities
2022178229,Request to hold campus fun run,Organized by CED,acmida.dagalangit,04/08/2022 14:45,Sent to OC from OC,Academics: Student Organizations & Activities
2022178759,National Statistics Month Inter-School Quiz,Endorsement from PSA Provincial Office,acmida.dagalangit,09/05/2022 13:17,Terminal Document at OC,Academics: Student Organizations & Activities
2022179836,Request from Psychology Society,Mental Health Awareness program,acmida.dagalangit,07/09/2022 11:21,Received by SDO,Academics: Student Organizations & Activities
2022180800,Invitation for Provincial Youth Leaders Forum,Organized by YMCA,acmida.dagalangit,20/01/2022 18:14,Received by OC,Academics: Student Organizations & Activities
2022181512,Request for Inter-College Cheerdance tryouts,From Student Athletics Guild,acmida.dagalangit,18/04/2022 20:30,Sent to SDO from OC,Academics: Student Organizations & Activities
2022182069,Conduct of Environmental Advocacy Campaign,Organized by Environmental Science Student Org,acmida.dagalangit,19/02/2022 2:46,Terminal Document at OC,Academics: Student Organizations & Activities
2022182283,Invitation from Youth for Peace,Provincial Youth Leadership Training,acmida.dagalangit,08/01/2022 21:16,Received by OC,Academics: Student Organizations & Activities
2022183377,Request to conduct Intramurals Coordination Meeting,KASAMA,acmida.dagalangit,10/02/2022 13:00,Received by SDO,Academics: Student Organizations & Activities
2022184139,Invitation for Literary and Arts Festival,Sent by CHR Youth Unit,acmida.dagalangit,13/01/2022 18:32,Sent to CASS-DEAN from OC,Academics: Student Organizations & Activities
2022185292,Request for campus acquaintance party,Freshmen Welcome Event,acmida.dagalangit,16/08/2022 11:58,Received by OC,Academics: Student Organizations & Activities
2022185368,Invitation from DOST Youth,Science Explorers Challenge,acmida.dagalangit,27/02/2022 15:43,Terminal Document at OC,Academics: Student Organizations & Activities
2022185797,Request from KASAMA,Conduct of General Assembly and Aquintance Party,acmida.dagalangit,07/03/2022 19:15,Received by SDO,Academics: Student Organizations & Activities
2022186713,Regional Youth Hackathon Invitation,Requester: Fredrick Lantud,acmida.dagalangit,06/07/2022 17:15,Received by OC,Academics: Student Organizations & Activities
2022187315,Campus Bookstore Sales Remittance Q1,Official monthly report on Q1 sales and revenue remittance.,auxiliary.mgr,17/02/2022 11:51,Sent to ACCOUNTING,Administration and Finance: Auxiliary Services & Business Affairs
2022187900,Cafeteria Concession Agreement Renewal,"Draft contract for renewal with ""Food Hub Catering Services"" FY2026.",legal.office,10/02/2022 22:50,Received by LEGAL,Administration and Finance: Auxiliary Services & Business Affairs
2022188448,Request for Temporary Vending Permit,Requester: Student Club for a one-day fundraising bake sale.,stud.affairs,17/04/2022 11:39,Sent to AUXILIARY,Administration and Finance: Auxiliary Services & Business Affairs
2022188583,DV# 126170 - Hostel Maintenance Services,Payment for routine repair and cleaning of University Hostel rooms.,property.mgr,05/01/2022 13:30,Received by CASHIER,Administration and Finance: Auxiliary Services & Business Affairs
2022188720,University Guest House Occupancy Report,Monthly summary of room rentals and revenue (September 2026).,guesthouse.staff,10/03/2022 12:47,Sent to ACCOUNTING,Administration and Finance: Auxiliary Services & Business Affairs
2022190014,Campus Cafe Vendor Performance Review,Q3 report on sanitation compliance and service quality (Concession A).,sanitary.eng,20/04/2022 19:35,Sent to AUXILIARY,Administration and Finance: Auxiliary Services & Business Affairs
2022190367,Souvenir Shop Inventory Replenishment PR,Purchase Request for restocking official school merchandise (T-shirts/Mugs).,auxiliary.mgr,20/11/2022 4:36,Received by Purchasing,Administration and Finance: Auxiliary Services & Business Affairs
2022191590,Rental Agreement: Auditorium - External Client,Contract for the use of the main auditorium by a private corporation.,facilities.rentals,16/07/2022 1:52,Sent to LEGAL,Administration and Finance: Auxiliary Services & Business Affairs
2022192131,Disbursement Voucher - Security Deposit Refund,Refund of security deposit to former cafeteria concessionaire.,ovcaf.staff,07/12/2022 9:37,Received by CASHIER,Administration and Finance: Auxiliary Services & Business Affairs
2022194098,Concessionaire Insurance Compliance,Submission of updated liability insurance certificate for all food vendors.,legal.office,08/09/2022 21:55,Received by AUXILIARY,Administration and Finance: Auxiliary Services & Business Affairs
2022194551,Monthly Sales Report - Concession B,Vendor submitted report on gross sales for November 2026.,food.vendorB,04/08/2022 7:11,Sent to ACCOUNTING,Administration and Finance: Auxiliary Services & Business Affairs
2022196155,DV# 126175 - Campus Shop Merchandise Payment,Payment to supplier for new batch of official university flags.,purchasing,09/02/2022 23:36,Received by CASHIER,Administration and Finance: Auxiliary Services & Business Affairs
